期貨,多單,選擇權,台指期,賣權,買權,空單
賣,同步,結算,結算,使用,大於,累積
強化,增持,翻倍,表現,買進,調整,加碼
調整,增加,為,拉高,賣,賣出,超過
跨,持有,搞懂,指出,為,持有,持續
上漲,大賺,考量,來到,退守,委託,累計為
使得,減少,搭配,協商,混合,辦理,為
應聲,加碼,中性,波動,賣出,賣,減碼
放寬,為,指出,有助於,大於,為,減少
介入,減碼,組合成,下跌,走跌,明顯,來自
包含,開始,持有,支撐,買,增高,增加
輕,獲利,賣出,逆,快,觀察,轉為
參與,超過,偏空,開盤,集中,集中,願
提供,使得,分析,開低,平均,平均,上市櫃
變,縮減,加劇,觀察,降,降,同步
認為,削減,追高,轉為,升,買,增持
上市,持續,降,帶動,發現,高達,未平
掛牌,出現,升,開始,不足,增量,大減
持續,敲進,做多,接近,相對,過期,有
回檔,大減,因應,利用,成交,升高,增
表示,未平,牽動,分析,分析,升,呈現
獲利,滿手,上攻,使得,觀察,加碼,軋
佈局,轉為,未平,作收,作,升溫,減
準備,為主,顯示,大,減,看漲,攀升
高級,造成,小,讓,大增,成交,大增
下跌,大增,投資,呈現,有,買進,押注
觀察,維持,對,大漲,呈現,主導,使
走揚,留倉,有,走高,,介入,高達
分析,回補,追價,賣,,大,多
空,偏空,隱含,亮眼,,分析,增減
表現,高達,壓注,開高,,降溫,造成
強過,平倉,高,翻黑,,轉作,看跌
建立,累積,操作,衝高,,週選,淨
計價,追,強,加碼,,上檔,減到
研調,大,受到,收,,避,布局
收斂,降溫,提供,為,,增加,減持
反彈,減,看待,延續,,結算,退
駐,如此,反應,走升,,加入,到來
看,飆升,大,紅翻黑,,,達
一樣,進場,相關,縮小,,,推高
跌深,上升,運用到,震盪,,,同樣
相關,看,使,緊繃,,,讓
開低,投注,自營,推升,,,繼續
上揚,看空,表現,多空,,,軋完
削減,來自,擴大,上檔,,,作
指,增,超額,打開,,,獲利
報,使,配售,減少,,,留意
收盤,快速,呈現,續漲,,,開始
收高,看漲,持續,挑戰,,,
終止,使淨,震盪,激勵,,,
暗示,來到,升溫,上漲,,,
減,持,停損,強硬,,,
買回,增至,賣超,連續,,,
計算出,有,引發,重挫,,,
放空,做,減少,不斷,,,
為,退,觀察,下殺,,,
從事,共計,揭,轉強,,,
受到,投機,插補,急拉,,,
為主,減至,期待,收跌,,,
了解,計,來自,收長,,,
容易,操作,站上,收復,,,
取得,低,買賣,翻多,,,
買賣,加,自由,慶祝,,,
選,轉倉,轉作,收斂,,,
進行,壓寶,拉高,收漲,,,
成交,棄守,留倉,預期,,,
持有,增加為,調整,除,,,
承受,小,整理,開高走低,,,
正向,,不變,拉回,,,
反向,,領取,令,,,
影響,,低,終止,,,
買超,,不利,直接,,,
